LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,PreAS,PostAS
00,22021,1610612761,Toronto,Raptors,East,16-14,8,,Atlantic,5-5  ,3,24,23,0.511,0,24-23,13-12,11-11,4-6  ,7-3  ,4-6  ,1-1  ,3-4  ,11-9 ,5,W 5,4,W 4,6,3,1,W 1,1,W 1,1,W 1,6.5,5.0,0,0,0,0,0,16-6 ,8-17 ,0-0  ,21-4 ,3-18 ,0-1  ,21-12,17-20,14-15,15-2 ,14-8 ,19-15,107.5,106.7,0.8,16-14,5-5,5-7,6-2,8-9,1-4,4-2,3-3,9-6,,,,,,,,,4-3,5-10,6-4,24-23,
00,22021,1610612747,Los Angeles,Lakers,West,13-16,9,,Pacific,2-6  ,4,24,27,0.471,0,24-27,15-12,9-15 ,3-7  ,5-5  ,3-7  ,5-1  ,5-2  ,10-11,4,W 4,-4,L 4,4,5,-1,L 1,-3,L 3,-3,L 3,16.5,16.5,0,0,0,0,0,13-9 ,10-17,1-1  ,15-7 ,8-20 ,1-0  ,23-19,18-27,7-14 ,20-5 ,10-6 ,14-9 ,111.0,112.6,-1.6,11-11,2-4,4-4,5-3,13-16,4-6,2-6,7-4,6-7,,,,,,,,,4-3,8-8,6-8,24-27,
00,22021,1610612738,Boston,Celtics,East,17-14,9,,Atlantic,5-6  ,4,26,25,0.51,0,26-25,16-10,10-15,6-4  ,7-3  ,3-7  ,4-2  ,3-6  ,18-8 ,5,W 5,-6,L 6,3,3,1,W 1,1,W 1,1,W 1,6.5,5.0,0,0,0,0,0,21-7 ,5-18 ,0-0  ,23-6 ,3-19 ,0-0  ,21-16,12-21,13-17,25-6 ,21-8 ,11-11,107.7,104.8,2.9,17-14,5-6,7-3,5-5,9-11,2-3,3-5,4-3,9-6,,,,,,,,,2-4,9-6,6-9,26-25,
00,22021,1610612757,Portland,Trail Blazers,West,9-21 ,10,,Northwest,1-6  ,4,21,28,0.429,0,21-28,14-13,7-15 ,6-4  ,4-6  ,6-4  ,0-1  ,0-3  ,10-20,10,W 10,-6,L 6,4,7,-2,L 2,3,W 3,1,W 1,18.5,8.5,0,0,0,0,0,16-4 ,5-24 ,0-0  ,16-3 ,4-25 ,1-0  ,20-21,14-28,13-21,16-3 ,14-10,8-9  ,108.8,112.3,-3.5,12-7,5-2,3-2,4-3,9-21,1-6,4-10,4-5,8-6,,,,,,,,,3-3,8-8,2-11,21-28,
00,22021,1610612737,Atlanta,Hawks,East,14-15,10,,Southeast,6-5  ,3,24,25,0.49,0,24-25,14-11,10-14,7-3  ,6-4  ,4-6  ,0-0  ,5-2  ,15-12,-10,L 10,-7,L 7,7,6,6,W 6,1,W 1,7,W 7,7.5,7.5,0,0,0,0,0,18-7 ,5-18 ,1-0  ,21-6 ,3-19 ,0-0  ,23-14,17-23,12-19,20-3 ,14-11,14-9 ,111.7,111.3,0.4,14-15,3-7,5-3,6-5,10-10,3-5,3-4,4-1,7-6,,,,,,,,,3-3,8-7,5-9,24-25,
00,22021,1610612759,San Antonio,Spurs,West,11-18,11,,Southwest,2-6  ,3,19,31,0.38,0,19-31,10-16,9-15 ,4-6  ,3-7  ,4-6  ,0-3  ,2-3  ,12-15,-3,L 3,-4,L 4,4,6,1,W 1,1,W 1,1,W 1,21.0,15.0,0,0,0,0,0,15-6 ,4-25 ,0-0  ,19-4 ,0-26 ,0-1  ,17-25,8-30 ,11-20,19-5 ,13-6 ,11-18,111.3,111.3,0.0,8-13,2-7,3-4,3-2,11-18,4-5,5-7,2-6,5-11,,,,,,,,,2-4,4-9,8-7,19-31,
00,22021,1610612764,Washington,Wizards,East,16-16,11,,Southeast,6-5  ,4,23,26,0.469,0,23-26,13-12,10-14,4-6  ,4-6  ,4-6  ,3-0  ,8-4  ,6-13 ,4,W 4,-3,L 3,5,5,-4,L 4,-1,L 1,-5,L 5,8.5,8.5,0,0,0,0,0,11-7 ,11-19,1-0  ,17-3 ,6-23 ,0-0  ,21-16,15-25,12-16,18-6 ,16-7 ,6-10 ,107.6,110.1,-2.5,16-16,5-7,5-4,6-5,7-10,4-3,0-3,3-4,5-9,,,,,,,,,5-1,8-7,5-9,23-26,
00,22021,1610612752,New York,Knicks,East,14-21,12,,Atlantic,4-6  ,5,23,27,0.46,0,23-27,12-14,11-13,4-6  ,6-4  ,3-7  ,1-0  ,2-4  ,10-14,5,W 5,3,W 3,3,4,1,W 1,-3,L 3,-3,L 3,9.0,7.5,0,0,0,0,0,17-7 ,4-19 ,2-1  ,19-4 ,4-23 ,0-0  ,19-13,9-22 ,8-13 ,19-7 ,18-9 ,8-9  ,103.8,104.8,-1.0,14-21,4-6,6-9,4-6,9-6,1-3,2-2,6-1,6-8,,,,,,,,,5-1,6-9,6-9,23-27,
00,22021,1610612740,New Orleans,Pelicans,West,11-17,12,,Southwest,2-4  ,4,18,31,0.367,0,18-31,11-13,7-18 ,4-6  ,6-4  ,3-7  ,1-1  ,3-1  ,9-21 ,-6,L 6,-7,L 7,4,9,-2,L 2,-1,L 1,-3,L 3,21.5,15.5,0,0,0,0,0,12-6 ,6-24 ,0-1  ,14-2 ,3-28 ,1-1  ,16-19,9-30 ,12-22,14-5 ,15-15,7-13 ,105.6,110.0,-4.4,7-14,1-8,4-3,2-3,11-17,5-8,4-5,2-4,5-9,,,,,,,,,1-6,5-11,7-5,18-31,
00,22021,1610612754,Indiana,Pacers,East,8-23 ,13,,Central,2-7  ,4,18,33,0.353,0,18-33,12-13,6-20 ,3-7  ,3-7  ,3-7  ,3-3  ,2-10 ,11-11,4,W 4,-8,L 8,3,6,-3,L 3,-1,L 1,-1,L 1,14.5,13.5,0,0,0,0,0,15-8 ,3-22 ,0-3  ,14-6 ,3-25 ,1-2  ,17-22,11-30,12-23,14-7 ,13-12,8-12 ,108.6,110.7,-2.0,8-23,4-8,2-7,2-8,10-10,3-3,3-5,4-2,4-11,,,,,,,,,1-6,8-8,5-8,18-33,
00,22021,1610612758,Sacramento,Kings,West,13-20,13,,Pacific,5-6  ,5,18,33,0.353,0,18-33,12-16,6-17 ,2-8  ,5-5  ,0-10 ,1-0  ,4-6  ,6-18 ,-5,L 5,-11,L 11,3,6,-2,L 2,-11,L 11,-6,L 6,22.5,22.5,0,0,0,0,0,13-12,4-21 ,1-0  ,15-5 ,2-28 ,1-0  ,17-22,15-32,9-20 ,15-5 ,6-14 ,10-13,109.5,114.7,-5.2,5-13,0-5,1-5,4-3,13-20,3-7,5-6,5-7,3-11,,,,,,,,,3-3,5-11,7-8,18-33,
00,22021,1610612760,Oklahoma City,Thunder,West,10-21,14,,Northwest,1-5  ,5,14,34,0.292,0,14-34,8-16 ,6-18 ,1-9  ,4-6  ,1-9  ,0-1  ,5-5  ,5-16 ,-6,L 6,-5,L 5,4,8,-6,L 6,-4,L 4,-7,L 7,25.0,15.0,0,0,0,0,0,7-9  ,7-24 ,0-1  ,11-5 ,3-29 ,0-0  ,12-14,9-28 ,6-20 ,12-5 ,9-4  ,4-18 ,100.8,108.0,-7.3,4-13,3-3,1-5,0-5,10-21,1-5,4-7,5-9,1-12,,,,,,,,,1-5,5-9,7-8,14-34,
00,22021,1610612765,Detroit,Pistons,East,7-20 ,14,,Central,2-7  ,5,11,37,0.229,0,11-37,7-15 ,4-22 ,3-7  ,5-5  ,2-8  ,1-1  ,2-3  ,3-23 ,-7,L 7,-10,L 10,2,14,-2,L 2,-3,L 3,-4,L 4,20.0,19.0,0,0,0,0,0,5-8  ,6-27 ,0-2  ,8-5  ,1-32 ,2-0  ,9-20 ,7-32 ,5-24 ,8-1  ,6-5  ,5-19 ,102.1,111.8,-9.7,7-20,2-7,2-7,3-6,4-17,1-5,1-8,2-4,6-9,,,,,,,,,1-5,3-12,1-11,11-37,
00,22021,1610612753,Orlando,Magic,East,7-28 ,15,,Southeast,2-10 ,5,10,40,0.2,0,10-40,4-18 ,6-22 ,3-7  ,2-8  ,3-7  ,0-1  ,0-5  ,3-24 ,-9,L 9,-10,L 10,2,10,1,W 1,-2,L 2,1,W 1,22.0,22.0,0,0,0,0,0,5-7  ,5-33 ,0-0  ,5-6  ,5-33 ,0-1  ,10-20,5-36 ,8-24 ,9-7  ,5-10 ,5-12 ,102.4,110.4,-8.0,7-28,3-9,2-9,2-10,3-12,3-1,0-6,0-5,3-11,,,,,,,,,1-6,3-12,3-11,10-40,
00,22021,1610612745,Houston,Rockets,West,7-21 ,15,,Southwest,2-5  ,5,14,35,0.286,0,14-35,7-15 ,7-20 ,3-7  ,0-10 ,4-6  ,1-0  ,3-3  ,4-27 ,-10,L 10,-11,L 11,7,15,-10,L 10,-1,L 1,-3,L 3,25.5,19.5,0,0,0,0,0,6-8  ,8-26 ,0-1  ,11-4 ,3-30 ,0-1  ,14-23,12-33,6-23 ,11-8 ,10-10,4-6  ,108.3,116.8,-8.6,7-14,1-6,2-6,4-2,7-21,4-8,1-8,2-5,4-9,,,,,,,,,1-5,3-11,6-10,14-35,
