playerid,name,twit_followers_count,2021-22,followers per dollar
200768,Kyle Lowry,920819,26984128,0.03412446753884357
201568,Danilo Gallinari,691244,20475000,0.03376039072039072
1626171,Bobby Portis,146303,4347600,0.03365143987487349
1626195,Willy Hernangomez,78257,2327220,0.033626816545062346
1629076,Tyler Cook,15540,462629,0.033590630937533096
1629683,Quinndary Weatherspoon,11516,346491,0.03323607250981988
201577,Robin Lopez,163745,5000000,0.032749
203145,Kent Bazemore,78490,2401537,0.032683235777754
1630527,Brandon Boston Jr,29890,925258,0.032304503176411335
1630181,RJ Hampton,73080,2303040,0.03173197165485619
1629680,Matisse Thybulle,89661,2840160,0.03156899611289505
1628369,Jayson Tatum,878963,28103500,0.031275926486024876
1626159,Justise Winslow,121376,3902439,0.03110260019439125
1627732,Ben Simmons,1026080,33003936,0.03108962518894716
1629011,Mitchell Robinson,55983,1802057,0.031066164943728197
1626246,Boban Marjanovic,108401,3500000,0.030971714285714286
1630178,Tyrese Maxey,79817,2602920,0.0306644076652375
1629185,Chris Chiozza,14127,462629,0.03053634769977671
1630792,Malcolm Hill,9695,324373,0.029888430911327393
1628997,Caleb Martin,13762,462629,0.029747378569004536
1628970,Miles Bridges,160834,5421493,0.029665997908694154
203901,Elfrid Payton,66291,2239544,0.02960022218808829
203084,Harrison Barnes,592490,20284091,0.029209590905503235
1629672,Eric Paschall,51769,1782621,0.029040945888105213
200794,Paul Millsap,73859,2641691,0.02795898536202758
1630208,Nick Richards,42271,1517981,0.027846857108224675
1629684,Grant Williams,71673,2617800,0.02737909695163878
1630580,Joe Wieskamp,12613,462629,0.027263746976518982
201942,DeMar DeRozan,706849,26000000,0.0271865
1628973,Jalen Brunson,48958,1802057,0.02716784208268662
2772,Trevor Ariza,71461,2641691,0.0270512334712879
1629004,Svi Mykhailiuk,46777,1729217,0.027050971624729574
1630582,Yves Pons,12488,462629,0.02699355206872029
203897,Zach LaVine,522082,19500000,0.026773435897435898
1627737,Marquese Chriss,34052,1292900,0.02633769046329956
1627777,Georges Niang,84528,3300000,0.025614545454545456
201144,Mike Conley,535854,21000000,0.025516857142857143
203457,Nerlens Noel,220615,8800000,0.025069886363636364
1630210,Markus Howard,11098,462629,0.023988984693998863
1630688,Ish Wainright,16934,707311,0.023941377979417824
1630535,Greg Brown III,22016,925258,0.023794444360383808
203935,Marcus Smart,339466,14339285,0.02367384426768838
1630575,Scottie Lewis,10906,462629,0.023573965315620074
1630175,Cole Anthony,80763,3449400,0.0234136371542877
1630540,Miles McBride,21589,925258,0.023332951457863644
1629023,PJ Washington,96357,4215120,0.02285984740647953
1629628,RJ Barrett,197038,8623920,0.02284784645497639
202334,Ed Davis,59773,2641691,0.02262679473110216
1629719,Devontae Cacok,10255,462629,0.0221667902358045
202710,Jimmy Butler,795925,36016200,0.022099083190342123
1627788,Furkan Korkmaz,101875,4629630,0.02200499823960014
202330,Gordon Hayward,657341,29925000,0.02196628237259816
203944,Julius Randle,476792,21780000,0.02189127640036731
1628983,Shai Gilgeous-Alexander,119944,5495532,0.021825730429738194
1629735,Chris Silva,10457,479650,0.021801313457729593
1627814,Damion Lee,40567,1910860,0.0212297080895513
203918,Rodney Hood,47341,2239544,0.021138678230925582
1629599,Amir Coffey,9774,462629,0.021127080230595143
1626156,DAngelo Russell,629857,30013500,0.020985789727955752
1629744,Matt Thomas,34934,1669178,0.020928864387141456
1630525,David Johnson,9476,462629,0.020482935570403066
1626157,Karl-Anthony Towns,647106,31650600,0.020445299615173173
202357,Nemanja Bjelica,42663,2089448,0.02041831143919351
203109,Jae Crowder,197431,9720900,0.020309950724727133
1630202,Payton Pritchard,43151,2137440,0.02018816902462759
1629670,Jordan Nwora,30465,1517981,0.020069421158762858
1630593,McKinley Wright IV,9246,462629,0.019985776940053476
203078,Bradley Beal,669627,33724200,0.01985597879267707
201961,Wayne Ellington,51454,2641691,0.01947767547377797
1628400,Semi Ojeleye,34436,1789256,0.01924598827669154
201609,Goran Dragic,373217,19440000,0.019198405349794237
1630224,Jalen Green,170837,8992080,0.018998607663632885
201976,Patrick Beverley,271487,14320987,0.018957282762703438
1630555,Joel Ayayi,8713,462629,0.018833665853199864
1626145,Tyus Jones,157482,8376286,0.018800933970019647
1630573,Sam Hauser,8640,462629,0.018675872027045428
1630698,Kevin Pangos,31107,1669178,0.01863611909574653
203095,Evan Fournier,319349,17142857,0.018628691821905765
203468,CJ McCollum,571537,30864198,0.01851779851852946
1630206,Jay Scrubb,8541,462629,0.018461877660068866
1629652,Luguentz Dort,32884,1782621,0.01844699462196395
1629642,Nassir Little,42571,2316240,0.01837935619797603
1627759,Jaylen Brown,489709,26758928,0.018300770494244015
1630561,David Duke Jr,8451,462629,0.01826733732645381
1629629,Cam Reddish,84824,4670160,0.018162975144320536
1628991,Jaren Jackson Jr,163581,9180560,0.017818194097092118
1630200,Tre Jones,26130,1517981,0.01721365418934756
203497,Rudy Gobert,574767,34844000,0.016495436804040867
203952,Andrew Wiggins,520428,31579390,0.01647998900548744
204060,Joe Ingles,214318,13036364,0.016440013488423614
1630554,Jason Preston,17447,1062303,0.016423751039016176
203082,Terrence Ross,204055,12500000,0.0163244
1630578,Alperen Sengun,51526,3214680,0.01602834496746177
1630235,Trent Forrest,7414,462629,0.01602580037135588
1626149,Montrezl Harrell,154921,9720900,0.015936898846814596
203992,Bogdan Bogdanovic,284288,18000000,0.015793777777777778
1630572,Sandro Mamukelashvili,7303,462629,0.015785867293230643
203476,Gorgui Dieng,61956,4000000,0.015489
202324,Derrick Favors,148837,9720900,0.015311030871627112
1629641,Romeo Langford,57879,3804360,0.015213859887076932
1630631,Jose Alvarado,6952,462629,0.015027159992131923
1628035,Alfonzo McKinnie,19379,1295669,0.014956752071709673
1627826,Ivica Zubac,112447,7518518,0.014956005957557061
1628995,Kevin Knox II,86827,5845978,0.01485243358767344
1629022,Lonnie Walker IV,65162,4453617,0.014631253652929742
202709,Cory Joseph,106505,7310000,0.014569767441860466
1630176,Vernon Carey Jr,21964,1517981,0.014469219311704164
1630215,Jared Butler,13346,925258,0.01442408495792525
1626208,Keifer Sykes,7961,558345,0.014258209529950121
1628365,Markelle Fultz,235150,16500000,0.014251515151515152
1629003,Shake Milton,26077,1846738,0.014120573681810846
1630214,Xavier Tillman,21371,1517981,0.014078568835841819
1629656,Quentin Grimes,30403,2168640,0.014019385421277852
1626192,Pat Connaughton,74709,5333334,0.014007935749008032
1629109,Gary Clark,11346,811213,0.013986462248509331
1630169,Tyrese Haliburton,55682,4023600,0.013838850780395666
1630598,Aaron Wiggins,6308,462629,0.013635115827153075
1629750,Javonte Green,22720,1669178,0.01361149020655676
1630194,Paul Reed,20610,1517981,0.013577245037981371
202689,Kemba Walker,467832,34967442,0.013379074168479353
201143,Al Horford,355115,27000000,0.013152407407407408
1629611,Terance Mann,23411,1782621,0.013132909350893993
1629655,Daniel Gafford,23382,1782621,0.01311664117050119
202339,Eric Bledsoe,235905,18125000,0.013015448275862068
1630198,Isaiah Joe,19629,1517981,0.012930991889885314
1628977,Hamidou Diallo,67222,5200000,0.012927307692307693
1627789,Timothe Luwawu-Cabarrot,24870,1939350,0.012823884291128471
1629663,Louis King,5932,462629,0.012822369544494616
1628981,Bruno Fernando,22845,1782621,0.01281539934736548
1629712,Didi Louzada,22876,1786878,0.01280221705119208
1629057,Robert Williams III,46791,3661976,0.012777527760968395
202734,ETwaun Moore,33606,2641691,0.012721397014260942
202685,Jonas Valanciunas,176521,14000000,0.012608642857142856
203500,Steven Adams,214597,17073171,0.01256925265962603
1629020,Jarred Vanderbilt,50888,4050000,0.012564938271604938
201569,Eric Gordon,225392,18218818,0.012371384356548267
1627745,Damian Jones,24349,1977011,0.01231606703250513
1628396,Tony Bradley,21710,1789256,0.0121335348323549
202695,Kawhi Leonard,475867,39344900,0.012094756880815558
203932,Aaron Gordon,198025,16409091,0.012068005473307448
203090,Maurice Harkless,51717,4347600,0.011895528567485509
204001,Kristaps Porzingis,374353,31650600,0.011827674672834007
1626162,Kelly Oubre Jr,141521,12000000,0.011793416666666667
203526,Raul Neto,24542,2089448,0.011745685941932989
1629111,Jock Landale,10811,925258,0.011684308592846537
1627742,Brandon Ingram,342175,29467800,0.011611827146919688
1628367,Josh Jackson,57947,5005350,0.011577012596521722
1629632,Coby White,67348,5837760,0.011536616784520089
1630256,JaeSean Tate,17387,1517981,0.0114540300570297
