playerid,name,twit_url,twit_handle,insta_url,insta_handle,twit_id,twit_followers_count,twit_tweet_count,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Guaranteed
1630209,Omer Yurtseven,https://twitter.com/OmerYurtseven5,OmerYurtseven5,https://instagram.com/omeryurtseven,omeryurtseven,889322832,14467,330,1489065.0,1752638.0,0.0,0.0,0.0,0.0,1489065.0
1630792,Malcolm Hill,https://twitter.com/Malcolmillini21,Malcolmillini21,https://instagram.com/malcolmillini21,malcolmillini21,292073449,9695,6712,106352.0,0.0,0.0,0.0,0.0,0.0,106352.0
1629632,Coby White,https://twitter.com/CobyWhite,CobyWhite,https://instagram.com/cobywhite,cobywhite,3051555746,67348,2993,5837760.0,7413955.0,0.0,0.0,0.0,0.0,5837760.0
1628366,Lonzo Ball,https://twitter.com/ZO2_,ZO2_,https://instagram.com/zo,zo,909102066,1297437,4506,18604651.0,19534884.0,20465117.0,21395348.0,0.0,0.0,58604652.0
1627884,Derrick Jones Jr.,https://twitter.com/TheRea1DJones,TheRea1DJones,https://instagram.com/therea1djones,therea1djones,2952137993,32775,680,9720900.0,0.0,0.0,0.0,0.0,0.0,9720900.0
1627936,Alex Caruso,https://twitter.com/ACFresh21,ACFresh21,https://instagram.com/acfresh21,acfresh21,255792011,356924,5962,8604651.0,9034884.0,9465116.0,9895349.0,0.0,0.0,37000000.0
1628972,Troy Brown Jr.,https://twitter.com/Troy_Brown33,Troy_Brown33,https://instagram.com/troybrown.jr,troybrown.jr,614127319,23443,6214,5170564.0,0.0,0.0,0.0,0.0,0.0,5170564.0
203897,Zach LaVine,https://twitter.com/ZachLaVine,ZachLaVine,https://instagram.com/zachlavine8,zachlavine8,405205681,522082,3792,19500000.0,0.0,0.0,0.0,0.0,0.0,19500000.0
202696,Nikola Vucevic,https://twitter.com/NikolaVucevic,NikolaVucevic,https://instagram.com/nikola9vucevic,nikola9vucevic,2423100775,160385,2003,24000000.0,22000000.0,0.0,0.0,0.0,0.0,46000000.0
201942,DeMar DeRozan,https://twitter.com/DeMar_DeRozan,DeMar_DeRozan,https://instagram.com/demar_derozan,demar_derozan,43658360,706849,8347,26000000.0,27300000.0,28600000.0,0.0,0.0,0.0,81900000.0
1630245,Ayo Dosunmu,https://twitter.com/AyoDos_11,AyoDos_11,https://instagram.com/ayodos_11,ayodos_11,390361409,60263,9420,925258.0,1563518.0,0.0,0.0,0.0,0.0,925258.0
1628396,Tony Bradley,https://twitter.com/ToBrad1,ToBrad1,https://instagram.com/tobrad13,tobrad13,1563943224,21710,1253,1789256.0,2036318.0,0.0,0.0,0.0,0.0,1789256.0
1630250,Marko Simonovic,https://twitter.com/simke12,simke12,https://instagram.com/simke_12,simke_12,322287802,3225,91,925258.0,1563518.0,1836096.0,0.0,0.0,0.0,2488776.0
1629744,Matt Thomas,https://twitter.com/Theiceman_21,Theiceman_21,https://instagram.com/mattthomas_21,mattthomas_21,224323175,34934,3490,1669178.0,0.0,0.0,0.0,0.0,0.0,1669178.0
1629750,Javonte Green,https://twitter.com/2Xtremebounce,2Xtremebounce,https://instagram.com/savagewoo2,savagewoo2,2239445641,22720,5755,1669178.0,1815677.0,0.0,0.0,0.0,0.0,3484855.0
1629076,Tyler Cook,https://twitter.com/iamtc25,iamtc25,https://instagram.com/iamtc25,iamtc25,892394255699857409,15540,2753,53176.0,,,,,,
1628035,Alfonzo McKinnie,https://twitter.com/_Alvo_,_Alvo_,https://instagram.com/_alvo_,_alvo_,234661277,19379,1421,3270021.0,6108954.0,0.0,0.0,0.0,0.0,606528.0
1630172,Patrick Williams,https://twitter.com/patricklw4,patricklw4,https://instagram.com/patwilliams,patwilliams,1327014184953921537,26396,49,7422000.0,7775400.0,9835881.0,0.0,0.0,0.0,15197400.0
1627780,Gary Payton II,https://twitter.com/Garydwayne,GaryPayton,https://www.instagram.com/garydwayne,garydwayne,242982376,126750,2740,1939350.0,0.0,0.0,0.0,0.0,0.0,350000.0
1630228,Jonathan Kuminga,https://twitter.com/JonathanKuming6,JonathanKuming6,https://instagram.com/jonathan_kuminga,jonathan_kuminga,869261925615640577,28783,540,5466360.0,5739960.0,6012720.0,7636154.0,0.0,0.0,11206320.0
1627814,Damion Lee,https://twitter.com/Dami0nLee,Dami0nLee,https://instagram.com/dami0nlee,dami0nlee,99208535,40567,317,1910860.0,0.0,0.0,0.0,0.0,0.0,0.0
1629185,Chris Chiozza,https://twitter.com/Chiozza11,Chiozza11,https://instagram.com/chiozza11,chiozza11,318181107,14127,4761,53176.0,,,,,,
1629673,Jordan Poole,,,https://instagram.com/jordan_poole,jordan_poole,0,0,0,2161440.0,3901399.0,0.0,0.0,0.0,0.0,6062839.0
1630541,Moses Moody,https://twitter.com/mosesmoody,mosesmoody,https://instagram.com/mosesmoody,mosesmoody,800935000896053248,28930,1706,3562080.0,3740160.0,3918480.0,5803269.0,0.0,0.0,7302240.0
1626172,Kevon Looney,https://twitter.com/Loon_Rebel5,Loon_Rebel5,https://instagram.com/looney,looney,40805394,58454,2076,5178572.0,0.0,0.0,0.0,0.0,0.0,5178572.0
202357,Nemanja Bjelica,https://twitter.com/NemanjaBjelica,NemanjaBjelica,https://instagram.com/nemanjabjelica8,nemanjabjelica8,3695411717,42663,236,2089448.0,0.0,0.0,0.0,0.0,0.0,2089448.0
2738,Andre Iguodala,https://twitter.com/andre,andre,https://instagram.com/andre,andre,331283041,1326440,8646,2641691.0,0.0,0.0,0.0,0.0,0.0,2641691.0
202691,Klay Thompson,https://twitter.com/KlayThompson,KlayThompson,https://instagram.com/klaythompson,klaythompson,1703636814,1642064,605,37980720.0,40600080.0,43219440.0,0.0,0.0,0.0,121800240.0
1629683,Quinndary Weatherspoon,https://twitter.com/IAM_QUINN11,IAM_QUINN11,https://instagram.com/iamquinn_11,iamquinn_11,222840403,11516,4092,53176.0,0.0,0.0,0.0,0.0,0.0,95930.0
203952,Andrew Wiggins,https://twitter.com/22wiggins,22wiggins,https://instagram.com/22wiggins,22wiggins,231209225,520428,1335,31579390.0,33616770.0,0.0,0.0,0.0,0.0,65196160.0
203110,Draymond Green,https://twitter.com/Money23Green,Money23Green,https://instagram.com/money23green,money23green,116485600,1616732,19740,24026712.0,25806469.0,27586225.0,0.0,0.0,0.0,49833181.0
201939,Stephen Curry,https://twitter.com/StephenCurry30,StephenCurry30,https://instagram.com/stephencurry30,stephencurry30,42562446,15826000,7672,45780966.0,48070014.0,51915615.0,55761216.0,59606817.0,0.0,261134628.0
203490,Otto Porter Jr.,https://twitter.com/OttoPorter,OttoPorter,,,628179167,2289,691,2389641.0,0.0,0.0,0.0,0.0,0.0,2389641.0
1630164,James Wiseman,https://twitter.com/BigTicket_JW,BigTicket_JW,https://instagram.com/bigticket_j13,bigticket_j13,720405636182216704,60813,1032,9166800.0,9603360.0,12119440.0,0.0,0.0,0.0,18770160.0
1629308,Juan Toscano-Anderson,https://twitter.com/juanonjuan10,juanonjuan10,https://instagram.com/juanonjuan10,juanonjuan10,922918128543289349,83181,4251,1701593.0,0.0,0.0,0.0,0.0,0.0,1701593.0
1630178,Tyrese Maxey,https://twitter.com/TyreseMaxey,TyreseMaxey,https://instagram.com/tyresemaxey,tyresemaxey,2453367787,79817,7384,2602920.0,2726880.0,4343920.0,0.0,0.0,0.0,5329800.0
203083,Andre Drummond,https://twitter.com/AndreDrummond,AndreDrummond,https://instagram.com/andredrummondd,andredrummondd,244800486,846677,20843,2401537.0,0.0,0.0,0.0,0.0,0.0,2401537.0
1629619,Myles Powell,https://twitter.com/YDWILU,YDWILU,https://instagram.com/2mbp_,2mbp_,1377112092512198656,2987,44,53176.0,,,,,,
1630198,Isaiah Joe,https://twitter.com/zai_joe1,zai_joe1,https://instagram.com/zai.joe1,zai.joe1,401513961,19629,532,1517981.0,1782621.0,0.0,0.0,0.0,0.0,1517981.0
1630531,Jaden Springer,https://twitter.com/jadenspringer11,jadenspringer11,https://instagram.com/jaden,jaden,3219844094,13601,126,2023800.0,2125200.0,2226360.0,4018580.0,0.0,0.0,4149000.0
202699,Tobias Harris,https://twitter.com/tobias31,tobias31,https://instagram.com/tobiasharris,tobiasharris,25015718,245733,25460,36000000.0,38482759.0,40965517.0,0.0,0.0,0.0,115448276.0
201980,Danny Green,https://twitter.com/DGreen_14,DGreen_14,https://instagram.com/greenranger14,greenranger14,269552973,634863,13194,10000000.0,10000000.0,0.0,0.0,0.0,0.0,10000000.0
1629718,Charlie Brown Jr.,https://twitter.com/charleskbrownjr,charleskbrownjr,https://www.instagram.com/charleskbrownjr,charleskbrownjr,3241195881,3248,6279,106352.0,0.0,0.0,0.0,0.0,0.0,191860.0
1629003,Shake Milton,https://twitter.com/SniperShake,SniperShake,https://instagram.com/snipershake,snipershake,295906573,26077,294,1846738.0,1997718.0,0.0,0.0,0.0,0.0,1846738.0
1627777,Georges Niang,https://twitter.com/GeorgesNiang20,GeorgesNiang20,https://instagram.com/georgesniang,georgesniang,234608321,84528,18095,3300000.0,3465000.0,0.0,0.0,0.0,0.0,6765000.0
203954,Joel Embiid,https://twitter.com/JoelEmbiid,JoelEmbiid,https://instagram.com/joelmbiid,joelmbiid,416814339,1919448,2803,31579390.0,33616770.0,43732500.0,47231100.0,50729700.0,54228300.0,206889460.0
1629680,Matisse Thybulle,https://twitter.com/MatisseThybulle,MatisseThybulle,https://instagram.com/theycallmetisse,theycallmetisse,2330719896,89661,1292,2840160.0,4379527.0,0.0,0.0,0.0,0.0,7219687.0
1629646,Charles Bassey,https://twitter.com/CB_ONES23,CB_ONES23,https://instagram.com/cb_ones23,cb_ones23,920789423951884289,4792,1972,925258.0,1563518.0,1836096.0,0.0,0.0,0.0,1000000.0
