playerid,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
203090,6756808,95046,1079,47,3436,146,353.7058823529412,15.029411764705884
202684,18964107,3595472,417,652,868951,23468,51988.52136752137,1404.068376068376
1630558,145348578,180348,3668,28,100030,883,6668.666666666667,58.86666666666667
1630218,444491134,13287,2223,54,3456,111,212.21052631578948,6.815789473684211
1630186,1804485633,65690,395,111,15084,127,1272.1445783132529,10.710843373493976
1626158,1803864620,68045,306,261,37085,819,2199.957627118644,48.58474576271186
1629663,585051078,50811,488,24,11529,304,1120.875,29.555555555555554
1627741,199903956,548210,1300,452,52207,997,3071.0,58.64705882352941
203458,300139600,50958,1826,194,7134,59,449.8918918918919,3.7207207207207205
1627745,2301148789,78398,893,34,0,0,0.0,0.0
1628963,216269003,1082029,255,29,222183,1100,27285.63157894737,135.08771929824562
203084,26771129,1019213,1217,916,54396,686,3340.105263157895,42.12280701754386
1629674,2149397920,135327,2594,40,18958,160,1115.1764705882354,9.411764705882353
1628983,1345256010,1109577,695,353,1467787,6927,107026.13541666667,505.09375
1630581,736148210,308963,213,26,570855,5560,35678.4375,347.5
1629652,269763747,175659,917,152,186459,1661,11349.678260869567,101.10434782608696
1629647,6075993445,114150,999,80,41804,204,3251.422222222222,15.866666666666665
1628778,0,0,0,0,0,0,0.0,0.0
1630177,5313762470,55895,283,2,0,0,0.0,0.0
202324,2101053617,88423,430,168,27015,712,1589.1176470588234,41.88235294117647
1629660,184533516,68041,511,10,20591,233,1413.107843137255,15.990196078431373
1630197,2574560136,55487,332,123,0,0,0.0,0.0
1630598,258431281,23593,555,16,32701,612,2725.0833333333335,51.0
1629676,329753306,36737,972,47,19311,207,1228.8818181818183,13.172727272727274
1630544,2982647889,151085,160,150,130148,1547,8358.128440366972,99.34862385321101
1629603,1672087804,52208,634,37,4821,68,2812.25,39.66666666666667
1630249,1381135066,11114,345,47,5790,55,409.39393939393943,3.888888888888889
203488,0,0,0,0,0,0,0.0,0.0
1629026,27367251263,2015,26,18,0,0,0.0,0.0
1630526,213664076,34952,122,7,12092,169,806.1333333333333,11.266666666666667
1630607,38097409,8681,1272,21,1031,52,171.83333333333334,8.666666666666666
1630595,1082249057,555832,285,36,699892,6232,44538.58181818182,396.5818181818182
1630199,27445431,509361,795,54,16285,47,6705.588235294118,19.35294117647059
1628402,458755984,104591,1360,264,60498,909,4867.655172413793,73.13793103448276
1628977,31465404,378285,567,172,88838,1030,7403.166666666667,85.83333333333333
1630165,3187577745,223096,281,17,80309,8,9067.145161290322,0.9032258064516129
1626168,28057700,165350,245,119,5164,236,785.8260869565217,35.91304347826087
203924,188241602,182401,552,29,35621,747,2597.3645833333335,54.46875
1630587,322166362,48678,475,16,6090,0,1522.5,0.0
203482,350545113,175026,395,460,37721,527,2467.728971962617,34.47663551401869
203585,8705801954,15325,286,28,533,33,56.53030303030303,3.5
