playerid,twit_id,twit_data
1628991,753792894486675457,<generator object Paginator.flatten at 0x7ff3b66e3cf0>
1629634,381841868,<generator object Paginator.flatten at 0x7ff3b66e3d60>
1626145,393722870,<generator object Paginator.flatten at 0x7ff3b66e3dd0>
1630217,2214875666,<generator object Paginator.flatten at 0x7ff3b66e3e40>
1629633,1317724028,<generator object Paginator.flatten at 0x7ff3b66e3eb0>
1628415,367771939,<generator object Paginator.flatten at 0x7ff3b66e3f20>
1629681,1315958215,<generator object Paginator.flatten at 0x7ff3b66e3f90>
1629723,1029634597133451264,<generator object Paginator.flatten at 0x7ff3b66ed040>
201567,217160945,<generator object Paginator.flatten at 0x7ff3b66ed0b0>
1629164,4068844265,<generator object Paginator.flatten at 0x7ff3b66ed120>
200765,150846769,<generator object Paginator.flatten at 0x7ff3b66ed190>
1629012,1082311439694659584,<generator object Paginator.flatten at 0x7ff3b66ed200>
201937,31451582,<generator object Paginator.flatten at 0x7ff3b66ed270>
1630596,3285850261,<generator object Paginator.flatten at 0x7ff3b66ed2e0>
1630612,746783520,<generator object Paginator.flatten at 0x7ff3b66ed350>
1630698,257778707,<generator object Paginator.flatten at 0x7ff3b66ed3c0>
1630205,1022960174468931584,<generator object Paginator.flatten at 0x7ff3b66ed430>
1629685,450775222,<generator object Paginator.flatten at 0x7ff3b66ed4a0>
1629636,1367322109,<generator object Paginator.flatten at 0x7ff3b66ed510>
1626224,3305641571,<generator object Paginator.flatten at 0x7ff3b66ed580>
202334,54378594,<generator object Paginator.flatten at 0x7ff3b66ed5f0>
1628374,935323794,<generator object Paginator.flatten at 0x7ff3b66ed660>
1628386,424609982,<generator object Paginator.flatten at 0x7ff3b66ed6d0>
1629731,1160657978,<generator object Paginator.flatten at 0x7ff3b66ed740>
1630171,2368216597,<generator object Paginator.flatten at 0x7ff3b66ed7b0>
203903,72362869,<generator object Paginator.flatten at 0x7ff3b66ed820>
1629672,207723015,<generator object Paginator.flatten at 0x7ff3b66ed890>
204060,38026892,<generator object Paginator.flatten at 0x7ff3b66ed900>
1630235,479066463,<generator object Paginator.flatten at 0x7ff3b66ed970>
1627863,381750947,<generator object Paginator.flatten at 0x7ff3b66ed9e0>
200752,37367041,<generator object Paginator.flatten at 0x7ff3b66eda50>
201144,59297233,<generator object Paginator.flatten at 0x7ff3b66edac0>
1630215,1611022940,<generator object Paginator.flatten at 0x7ff3b66edb30>
1628962,2866061922,<generator object Paginator.flatten at 0x7ff3b66edba0>
202355,149308566,<generator object Paginator.flatten at 0x7ff3b66edc10>
1626220,289760136,<generator object Paginator.flatten at 0x7ff3b66edc80>
