Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mike Muscala,C,30,OKC,43,0,592,113,248,0.456,70,163,0.429,43,85,0.506,0.597,48,57,0.842,21,108,129,22,18,26,14,58,344
Svi Mykhailiuk,SF,24,TOR,41,5,648,83,204,0.407,35,113,0.31,48,91,0.527,0.493,27,32,0.844,20,67,87,40,24,4,28,47,228
Abdel Nader,SF,28,PHO,14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34
Larry Nance Jr.,PF,29,POR,37,11,858,102,198,0.515,19,62,0.306,83,136,0.61,0.563,32,49,0.653,58,151,209,73,38,13,27,67,255
RJ Nembhard Jr.,SG,22,CLE,7,0,44,5,11,0.455,0,1,0.0,5,10,0.5,0.455,1,2,0.5,0,2,2,10,0,0,2,2,11
Aaron Nesmith,SF,22,BOS,39,1,398,46,130,0.354,17,82,0.207,29,48,0.604,0.419,13,16,0.813,10,54,64,12,12,2,21,47,122
Raul Neto,PG,29,WAS,44,0,855,125,284,0.44,17,75,0.227,108,209,0.517,0.47,49,67,0.731,7,78,85,112,31,1,54,65,316
Malik Newman,PG,24,CLE,1,0,8,3,5,0.6,0,1,0.0,3,4,0.75,0.6,2,2,1.0,0,1,1,1,0,0,1,0,8
Georges Niang,PF,28,PHI,50,5,1153,169,386,0.438,98,244,0.402,71,142,0.5,0.565,38,44,0.864,18,113,131,76,21,10,43,130,474
Daishen Nix,SG,19,HOU,8,0,67,13,20,0.65,3,7,0.429,10,13,0.769,0.725,1,3,0.333,1,9,10,10,7,0,9,3,30
Zeke Nnaji,PF,21,DEN,38,1,623,93,170,0.547,36,73,0.493,57,97,0.588,0.653,38,62,0.613,55,85,140,13,12,12,19,73,260
Nerlens Noel,C,27,NYK,25,11,562,32,60,0.533,0,3,0.0,32,57,0.561,0.533,21,30,0.7,48,93,141,23,30,31,20,67,85
Jaylen Nowell,SG,22,MIN,40,1,603,122,263,0.464,35,96,0.365,87,167,0.521,0.53,41,55,0.745,15,65,80,84,23,6,21,48,320
Frank Ntilikina,PG,23,DAL,44,5,567,68,180,0.378,32,94,0.34,36,86,0.419,0.467,23,24,0.958,7,55,62,53,23,6,25,49,191
Jusuf Nurkić,C,27,POR,53,53,1481,297,557,0.533,12,52,0.231,285,505,0.564,0.544,169,248,0.681,154,421,575,143,60,33,134,177,775
David Nwaba,SF,29,HOU,34,4,477,67,141,0.475,10,35,0.286,57,106,0.538,0.511,35,49,0.714,29,101,130,27,22,18,16,41,179
Jordan Nwora,SF,23,MIL,42,9,805,130,319,0.408,59,161,0.366,71,158,0.449,0.5,16,21,0.762,28,130,158,43,20,13,40,48,335
Royce O'Neale,SF,28,UTA,51,51,1600,136,282,0.482,75,189,0.397,61,93,0.656,0.615,33,42,0.786,41,212,253,126,63,25,44,122,380
Semi Ojeleye,PF,27,MIL,20,0,308,18,70,0.257,11,41,0.268,7,29,0.241,0.336,10,13,0.769,25,33,58,5,5,5,5,26,57
